taxonID,isMarine,isFreshwater,isTerrestrial
alien-freshwater-fauna-portugal:taxon:0121561a1fcfbbf338f95a5d95f48992,FALSE,TRUE,FALSE
alien-freshwater-fauna-portugal:taxon:0c929a3c2d8f73ac8fece9c327c527f7,FALSE,TRUE,FALSE
alien-freshwater-fauna-portugal:taxon:0d57bb658352d842f86dfca6834276d1,FALSE,TRUE,FALSE
alien-freshwater-fauna-portugal:taxon:10f2c21e38d910bcc489e526cb5706da,FALSE,TRUE,FALSE
alien-freshwater-fauna-portugal:taxon:16b9ce9e19562f42bafda84ffa48d110,FALSE,TRUE,FALSE
alien-freshwater-fauna-portugal:taxon:183bf2e499d9dc9c6fcc95ddab39e10e,FALSE,TRUE,FALSE
alien-freshwater-fauna-portugal:taxon:19c9456259dffea1f932fa1048d67bc2,FALSE,TRUE,FALSE
alien-freshwater-fauna-portugal:taxon:1d17b434b113730d1e811c0cf1bf4789,FALSE,TRUE,FALSE
alien-freshwater-fauna-portugal:taxon:27eea5e50d11e7148dc0bdde7009e40b,FALSE,TRUE,FALSE
alien-freshwater-fauna-portugal:taxon:29a2f2001381c101e0513570519626cf,FALSE,TRUE,FALSE
alien-freshwater-fauna-portugal:taxon:30865725a1ec2de0238ecbb47367864e,FALSE,TRUE,FALSE
alien-freshwater-fauna-portugal:taxon:321be3fdc7c0e92ac227db28dfd2d906,FALSE,TRUE,FALSE
alien-freshwater-fauna-portugal:taxon:32dc2e18733fffa92ba4e1b35d03c4e2,FALSE,TRUE,FALSE
alien-freshwater-fauna-portugal:taxon:36a95cf7e2a67c38388e1e28f0805301,FALSE,TRUE,FALSE
alien-freshwater-fauna-portugal:taxon:3827453e03468558ea4b21a077769675,FALSE,TRUE,FALSE
alien-freshwater-fauna-portugal:taxon:3f67c44b431393a1e5cd4fb1098c543f,FALSE,TRUE,FALSE
alien-freshwater-fauna-portugal:taxon:4497da3d5e3ef61d73279635415cfa16,FALSE,TRUE,FALSE
alien-freshwater-fauna-portugal:taxon:48993511f6b4806e75e327edb561f8ad,FALSE,TRUE,FALSE
alien-freshwater-fauna-portugal:taxon:48f1bfe51eaa10e4e6dc86f6f6a1e307,FALSE,TRUE,FALSE
alien-freshwater-fauna-portugal:taxon:4ac71bc8355e62cf3f8479449ea25e5d,FALSE,TRUE,FALSE
alien-freshwater-fauna-portugal:taxon:4ae7897b8d8bf9c8185f5c0d4da2d216,FALSE,TRUE,FALSE
